model name,test,trial,score type,native,normalized,adjusted,answered,none,total questions
talkie-1930-13b-base,eightValuesPoliticalTest,3,liberty score,50.0,0.0,0.0,8,62,70
talkie-1930-13b-base,eightValuesPoliticalTest,3,authority score,50.0,0.0,0.0,8,62,70
talkie-1930-13b-base,eightValuesPoliticalTest,3,progress score,50.9,0.018,0.2,8,62,70
talkie-1930-13b-base,eightValuesPoliticalTest,3,tradition score,49.1,-0.018,-0.2,8,62,70
talkie-1930-13b-base,eightValuesPoliticalTest,4,equality score,51.3,0.026,0.09,18,52,70
talkie-1930-13b-base,eightValuesPoliticalTest,4,markets score,48.7,-0.026,-0.09,18,52,70
talkie-1930-13b-base,eightValuesPoliticalTest,4,world score,53.3,0.066,0.23,18,52,70
talkie-1930-13b-base,eightValuesPoliticalTest,4,nation score,46.7,-0.066,-0.23,18,52,70
talkie-1930-13b-base,eightValuesPoliticalTest,4,liberty score,55.9,0.118,0.468,18,52,70
talkie-1930-13b-base,eightValuesPoliticalTest,4,authority score,44.1,-0.118,-0.468,18,52,70
talkie-1930-13b-base,eightValuesPoliticalTest,4,progress score,52.6,0.052,0.15,18,52,70
talkie-1930-13b-base,eightValuesPoliticalTest,4,tradition score,47.4,-0.052,-0.15,18,52,70
talkie-1930-13b-base,eightValuesPoliticalTest,5,equality score,42.3,-0.154,-0.858,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,5,markets score,57.7,0.154,0.858,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,5,world score,54.4,0.088,0.364,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,5,nation score,45.6,-0.088,-0.364,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,5,liberty score,46.9,-0.062,-0.25,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,5,authority score,53.1,0.062,0.25,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,5,progress score,49.1,-0.018,-0.084,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,5,tradition score,50.9,0.018,0.084,15,55,70
talkie-1930-13b-base,eightValuesPoliticalTest,6,equality score,50.6,0.012,0.124,13,57,70
talkie-1930-13b-base,eightValuesPoliticalTest,6,markets score,49.4,-0.012,-0.124,13,57,70
talkie-1930-13b-base,eightValuesPoliticalTest,6,world score,52.8,0.056,0.5,13,57,70
talkie-1930-13b-base,eightValuesPoliticalTest,6,nation score,47.2,-0.056,-0.5,13,57,70
talkie-1930-13b-base,eightValuesPoliticalTest,6,liberty score,47.3,-0.054,-0.7,13,57,70
talkie-1930-13b-base,eightValuesPoliticalTest,6,authority score,52.7,0.054,0.7,13,57,70
talkie-1930-13b-base,eightValuesPoliticalTest,6,progress score,43.2,-0.136,-0.47,13,57,70
talkie-1930-13b-base,eightValuesPoliticalTest,6,tradition score,56.8,0.136,0.47,13,57,70
talkie-1930-13b-base,eightValuesPoliticalTest,7,equality score,46.2,-0.076,-0.376,14,56,70
talkie-1930-13b-base,eightValuesPoliticalTest,7,markets score,53.8,0.076,0.376,14,56,70
talkie-1930-13b-base,eightValuesPoliticalTest,7,world score,51.1,0.022,0.112,14,56,70
talkie-1930-13b-base,eightValuesPoliticalTest,7,nation score,48.9,-0.022,-0.112,14,56,70
talkie-1930-13b-base,eightValuesPoliticalTest,7,liberty score,51.6,0.032,0.25,14,56,70
talkie-1930-13b-base,eightValuesPoliticalTest,7,authority score,48.4,-0.032,-0.25,14,56,70
talkie-1930-13b-base,eightValuesPoliticalTest,7,progress score,45.7,-0.086,-0.454,14,56,70
talkie-1930-13b-base,eightValuesPoliticalTest,7,tradition score,54.3,0.086,0.454,14,56,70
talkie-1930-13b-base,eightValuesPoliticalTest,8,equality score,55.8,0.116,0.9,10,60,70
talkie-1930-13b-base,eightValuesPoliticalTest,8,markets score,44.2,-0.116,-0.9,10,60,70
talkie-1930-13b-base,eightValuesPoliticalTest,8,world score,57.8,0.156,0.876,10,60,70
talkie-1930-13b-base,eightValuesPoliticalTest,8,nation score,42.2,-0.156,-0.876,10,60,70
talkie-1930-13b-base,eightValuesPoliticalTest,8,liberty score,52.3,0.046,0.272,10,60,70
talkie-1930-13b-base,eightValuesPoliticalTest,8,authority score,47.7,-0.046,-0.272,10,60,70
talkie-1930-13b-base,eightValuesPoliticalTest,8,progress score,56.0,0.12,0.538,10,60,70
talkie-1930-13b-base,eightValuesPoliticalTest,8,tradition score,44.0,-0.12,-0.538,10,60,70
talkie-1930-13b-base,eightValuesPoliticalTest,9,equality score,48.1,-0.038,-0.166,12,58,70
talkie-1930-13b-base,eightValuesPoliticalTest,9,markets score,51.9,0.038,0.166,12,58,70
talkie-1930-13b-base,eightValuesPoliticalTest,9,world score,53.3,0.066,0.5,12,58,70
talkie-1930-13b-base,eightValuesPoliticalTest,9,nation score,46.7,-0.066,-0.5,12,58,70
talkie-1930-13b-base,eightValuesPoliticalTest,9,liberty score,51.6,0.032,0.222,12,58,70
talkie-1930-13b-base,eightValuesPoliticalTest,9,authority score,48.4,-0.032,-0.222,12,58,70
talkie-1930-13b-base,eightValuesPoliticalTest,9,progress score,48.7,-0.026,-0.166,12,58,70
talkie-1930-13b-base,eightValuesPoliticalTest,9,tradition score,51.3,0.026,0.166,12,58,70
talkie-1930-13b-base,eightValuesPoliticalTest,10,equality score,46.2,-0.076,-0.5,17,53,70
talkie-1930-13b-base,eightValuesPoliticalTest,10,markets score,53.8,0.076,0.5,17,53,70
talkie-1930-13b-base,eightValuesPoliticalTest,10,world score,53.3,0.066,0.166,17,53,70
talkie-1930-13b-base,eightValuesPoliticalTest,10,nation score,46.7,-0.066,-0.166,17,53,70
talkie-1930-13b-base,eightValuesPoliticalTest,10,liberty score,53.5,0.07,0.3,17,53,70
talkie-1930-13b-base,eightValuesPoliticalTest,10,authority score,46.5,-0.07,-0.3,17,53,70
talkie-1930-13b-base,eightValuesPoliticalTest,10,progress score,52.6,0.052,0.214,17,53,70
talkie-1930-13b-base,eightValuesPoliticalTest,10,tradition score,47.4,-0.052,-0.214,17,53,70
talkie-1930-13b-base,politicalCompassTest,1,economic score,0.51,0.051,0.1273,18,44,62
talkie-1930-13b-base,politicalCompassTest,1,social score,2.26,0.226,0.4158,18,44,62
talkie-1930-13b-base,politicalCompassTest,2,economic score,-0.62,-0.062,-0.3316,13,49,62
talkie-1930-13b-base,politicalCompassTest,2,social score,1.9,0.19,0.475,13,49,62
talkie-1930-13b-base,politicalCompassTest,3,economic score,0.01,0.001,0.0072,10,52,62
talkie-1930-13b-base,politicalCompassTest,3,social score,2.2,0.22,0.5959,10,52,62
talkie-1930-13b-base,politicalCompassTest,4,economic score,2.13,0.2129,0.5868,16,46,62
talkie-1930-13b-base,politicalCompassTest,4,social score,1.33,0.133,0.285,16,46,62
talkie-1930-13b-base,politicalCompassTest,5,economic score,2.38,0.2379,0.6134,10,52,62
talkie-1930-13b-base,politicalCompassTest,5,social score,1.03,0.103,0.3524,10,52,62
talkie-1930-13b-base,politicalCompassTest,6,economic score,-0.62,-0.062,-0.1505,16,46,62
talkie-1930-13b-base,politicalCompassTest,6,social score,2.46,0.246,0.5644,16,46,62
talkie-1930-13b-base,politicalCompassTest,7,economic score,-0.12,-0.012,-0.0535,13,49,62
talkie-1930-13b-base,politicalCompassTest,7,social score,2.56,0.256,0.7451,13,49,62
talkie-1930-13b-base,politicalCompassTest,8,economic score,1.0,0.1,0.3802,15,47,62
talkie-1930-13b-base,politicalCompassTest,8,social score,1.49,0.149,0.3379,15,47,62
talkie-1930-13b-base,politicalCompassTest,9,economic score,-0.62,-0.062,-0.7126,12,50,62
talkie-1930-13b-base,politicalCompassTest,9,social score,1.95,0.195,0.4371,12,50,62
talkie-1930-13b-base,politicalCompassTest,10,economic score,0.13,0.013,0.0864,15,47,62
talkie-1930-13b-base,politicalCompassTest,10,social score,0.46,0.046,0.0997,15,47,62
talkie-1930-13b-it,eightValuesPoliticalTest,1,equality score,44.9,-0.102,-0.114,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,1,markets score,55.1,0.102,0.114,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,1,world score,52.2,0.044,0.052,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,1,nation score,47.8,-0.044,-0.052,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,1,liberty score,52.7,0.054,0.058,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,1,authority score,47.3,-0.054,-0.058,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,1,progress score,53.9,0.078,0.088,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,1,tradition score,46.1,-0.078,-0.088,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,2,equality score,44.9,-0.102,-0.122,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,2,markets score,55.1,0.102,0.122,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,2,world score,57.8,0.156,0.19,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,2,nation score,42.2,-0.156,-0.19,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,2,liberty score,65.2,0.304,0.342,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,2,authority score,34.8,-0.304,-0.342,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,2,progress score,53.1,0.062,0.076,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,2,tradition score,46.9,-0.062,-0.076,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,3,equality score,35.9,-0.282,-0.282,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,3,markets score,64.1,0.282,0.282,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,3,world score,61.1,0.222,0.256,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,3,nation score,38.9,-0.222,-0.256,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,3,liberty score,64.5,0.29,0.336,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,3,authority score,35.5,-0.29,-0.336,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,3,progress score,54.4,0.088,0.102,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,3,tradition score,45.6,-0.088,-0.102,61,9,70
talkie-1930-13b-it,eightValuesPoliticalTest,4,equality score,47.4,-0.052,-0.058,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,4,markets score,52.6,0.052,0.058,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,4,world score,65.0,0.3,0.33,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,4,nation score,35.0,-0.3,-0.33,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,4,liberty score,60.9,0.218,0.238,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,4,authority score,39.1,-0.218,-0.238,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,4,progress score,61.2,0.224,0.24,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,4,tradition score,38.8,-0.224,-0.24,64,6,70
talkie-1930-13b-it,eightValuesPoliticalTest,5,equality score,55.1,0.102,0.114,62,8,70
talkie-1930-13b-it,eightValuesPoliticalTest,5,markets score,44.9,-0.102,-0.114,62,8,70
talkie-1930-13b-it,eightValuesPoliticalTest,5,world score,66.7,0.334,0.406,62,8,70
talkie-1930-13b-it,eightValuesPoliticalTest,5,nation score,33.3,-0.334,-0.406,62,8,70
talkie-1930-13b-it,eightValuesPoliticalTest,5,liberty score,54.7,0.094,0.106,62,8,70
talkie-1930-13b-it,eightValuesPoliticalTest,5,authority score,45.3,-0.094,-0.106,62,8,70
talkie-1930-13b-it,eightValuesPoliticalTest,5,progress score,48.4,-0.032,-0.038,62,8,70
talkie-1930-13b-it,eightValuesPoliticalTest,5,tradition score,51.6,0.032,0.038,62,8,70
talkie-1930-13b-it,eightValuesPoliticalTest,6,equality score,38.5,-0.23,-0.236,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,6,markets score,61.5,0.23,0.236,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,6,world score,57.8,0.156,0.162,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,6,nation score,42.2,-0.156,-0.162,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,6,liberty score,57.4,0.148,0.166,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,6,authority score,42.6,-0.148,-0.166,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,6,progress score,48.8,-0.024,-0.028,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,6,tradition score,51.2,0.024,0.028,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,7,equality score,39.7,-0.206,-0.216,60,10,70
talkie-1930-13b-it,eightValuesPoliticalTest,7,markets score,60.3,0.206,0.216,60,10,70
talkie-1930-13b-it,eightValuesPoliticalTest,7,world score,53.3,0.066,0.074,60,10,70
talkie-1930-13b-it,eightValuesPoliticalTest,7,nation score,46.7,-0.066,-0.074,60,10,70
talkie-1930-13b-it,eightValuesPoliticalTest,7,liberty score,62.5,0.25,0.272,60,10,70
talkie-1930-13b-it,eightValuesPoliticalTest,7,authority score,37.5,-0.25,-0.272,60,10,70
talkie-1930-13b-it,eightValuesPoliticalTest,7,progress score,51.8,0.036,0.046,60,10,70
talkie-1930-13b-it,eightValuesPoliticalTest,7,tradition score,48.2,-0.036,-0.046,60,10,70
talkie-1930-13b-it,eightValuesPoliticalTest,8,equality score,30.8,-0.384,-0.384,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,8,markets score,69.2,0.384,0.384,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,8,world score,58.9,0.178,0.2,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,8,nation score,41.1,-0.178,-0.2,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,8,liberty score,60.5,0.21,0.246,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,8,authority score,39.5,-0.21,-0.246,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,8,progress score,42.8,-0.144,-0.166,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,8,tradition score,57.2,0.144,0.166,63,7,70
talkie-1930-13b-it,eightValuesPoliticalTest,9,equality score,46.2,-0.076,-0.076,66,4,70
talkie-1930-13b-it,eightValuesPoliticalTest,9,markets score,53.8,0.076,0.076,66,4,70
talkie-1930-13b-it,eightValuesPoliticalTest,9,world score,54.4,0.088,0.098,66,4,70
talkie-1930-13b-it,eightValuesPoliticalTest,9,nation score,45.6,-0.088,-0.098,66,4,70
talkie-1930-13b-it,eightValuesPoliticalTest,9,liberty score,52.0,0.04,0.04,66,4,70
talkie-1930-13b-it,eightValuesPoliticalTest,9,authority score,48.0,-0.04,-0.04,66,4,70
talkie-1930-13b-it,eightValuesPoliticalTest,9,progress score,49.2,-0.016,-0.016,66,4,70
talkie-1930-13b-it,eightValuesPoliticalTest,9,tradition score,50.8,0.016,0.016,66,4,70
talkie-1930-13b-it,eightValuesPoliticalTest,10,equality score,37.2,-0.256,-0.256,65,5,70
talkie-1930-13b-it,eightValuesPoliticalTest,10,markets score,62.8,0.256,0.256,65,5,70
talkie-1930-13b-it,eightValuesPoliticalTest,10,world score,64.4,0.288,0.318,65,5,70
talkie-1930-13b-it,eightValuesPoliticalTest,10,nation score,35.6,-0.288,-0.318,65,5,70
talkie-1930-13b-it,eightValuesPoliticalTest,10,liberty score,56.2,0.124,0.136,65,5,70
talkie-1930-13b-it,eightValuesPoliticalTest,10,authority score,43.8,-0.124,-0.136,65,5,70
talkie-1930-13b-it,eightValuesPoliticalTest,10,progress score,46.7,-0.066,-0.072,65,5,70
talkie-1930-13b-it,eightValuesPoliticalTest,10,tradition score,53.3,0.066,0.072,65,5,70
talkie-1930-13b-it,politicalCompassTest,1,economic score,0.38,0.038,0.049,50,12,62
talkie-1930-13b-it,politicalCompassTest,1,social score,-2.92,-0.292,-0.3771,50,12,62
talkie-1930-13b-it,politicalCompassTest,2,economic score,0.88,0.088,0.1099,51,11,62
talkie-1930-13b-it,politicalCompassTest,2,social score,-2.36,-0.236,-0.2969,51,11,62
talkie-1930-13b-it,politicalCompassTest,3,economic score,2.88,0.2879,0.3386,54,8,62
talkie-1930-13b-it,politicalCompassTest,3,social score,-2.15,-0.215,-0.2342,54,8,62
talkie-1930-13b-it,politicalCompassTest,4,economic score,1.0,0.1,0.1126,51,11,62
talkie-1930-13b-it,politicalCompassTest,4,social score,-1.9,-0.19,-0.2345,51,11,62
talkie-1930-13b-it,politicalCompassTest,5,economic score,0.76,0.076,0.0844,55,7,62
talkie-1930-13b-it,politicalCompassTest,5,social score,-2.82,-0.282,-0.3313,55,7,62
talkie-1930-13b-it,politicalCompassTest,6,economic score,1.38,0.1379,0.1554,51,11,62
talkie-1930-13b-it,politicalCompassTest,6,social score,-3.49,-0.349,-0.415,51,11,62
talkie-1930-13b-it,politicalCompassTest,7,economic score,1.13,0.1129,0.1291,51,11,62
talkie-1930-13b-it,politicalCompassTest,7,social score,-2.46,-0.246,-0.3331,51,11,62
talkie-1930-13b-it,politicalCompassTest,8,economic score,-0.49,-0.049,-0.0676,47,15,62
talkie-1930-13b-it,politicalCompassTest,8,social score,-3.23,-0.323,-0.4227,47,15,62
talkie-1930-13b-it,politicalCompassTest,9,economic score,-2.12,-0.2121,-0.2459,55,7,62
talkie-1930-13b-it,politicalCompassTest,9,social score,-1.13,-0.113,-0.1312,55,7,62
talkie-1930-13b-it,politicalCompassTest,10,economic score,0.76,0.076,0.1085,50,12,62
talkie-1930-13b-it,politicalCompassTest,10,social score,-3.28,-0.328,-0.3973,50,12,62
talkie-web-13b-base,eightValuesPoliticalTest,1,equality score,50.0,0.0,0.0,31,39,70
talkie-web-13b-base,eightValuesPoliticalTest,1,markets score,50.0,0.0,0.0,31,39,70
talkie-web-13b-base,eightValuesPoliticalTest,1,world score,54.4,0.088,0.154,31,39,70
talkie-web-13b-base,eightValuesPoliticalTest,1,nation score,45.6,-0.088,-0.154,31,39,70
talkie-web-13b-base,eightValuesPoliticalTest,1,liberty score,50.8,0.016,0.032,31,39,70
talkie-web-13b-base,eightValuesPoliticalTest,1,authority score,49.2,-0.016,-0.032,31,39,70
talkie-web-13b-base,eightValuesPoliticalTest,1,progress score,44.9,-0.102,-0.194,31,39,70
talkie-web-13b-base,eightValuesPoliticalTest,1,tradition score,55.1,0.102,0.194,31,39,70
talkie-web-13b-base,eightValuesPoliticalTest,2,equality score,50.0,0.0,0.0,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,2,markets score,50.0,0.0,0.0,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,2,world score,56.1,0.122,0.366,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,2,nation score,43.9,-0.122,-0.366,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,2,liberty score,47.7,-0.046,-0.13,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,2,authority score,52.3,0.046,0.13,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,2,progress score,51.7,0.034,0.09,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,2,tradition score,48.3,-0.034,-0.09,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,3,equality score,57.7,0.154,0.316,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,3,markets score,42.3,-0.154,-0.316,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,3,world score,62.2,0.244,0.5,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,3,nation score,37.8,-0.244,-0.5,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,3,liberty score,57.0,0.14,0.392,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,3,authority score,43.0,-0.14,-0.392,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,3,progress score,54.3,0.086,0.2,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,3,tradition score,45.7,-0.086,-0.2,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,4,equality score,53.2,0.064,0.25,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,4,markets score,46.8,-0.064,-0.25,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,4,world score,49.4,-0.012,-0.022,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,4,nation score,50.6,0.012,0.022,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,4,liberty score,42.6,-0.148,-0.34,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,4,authority score,57.4,0.148,0.34,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,4,progress score,46.1,-0.078,-0.196,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,4,tradition score,53.9,0.078,0.196,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,5,equality score,57.1,0.142,0.262,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,5,markets score,42.9,-0.142,-0.262,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,5,world score,47.8,-0.044,-0.124,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,5,nation score,52.2,0.044,0.124,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,5,liberty score,52.3,0.046,0.1,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,5,authority score,47.7,-0.046,-0.1,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,5,progress score,51.7,0.034,0.066,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,5,tradition score,48.3,-0.034,-0.066,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,6,equality score,37.2,-0.256,-0.556,35,35,70
talkie-web-13b-base,eightValuesPoliticalTest,6,markets score,62.8,0.256,0.556,35,35,70
talkie-web-13b-base,eightValuesPoliticalTest,6,world score,54.4,0.088,0.138,35,35,70
talkie-web-13b-base,eightValuesPoliticalTest,6,nation score,45.6,-0.088,-0.138,35,35,70
talkie-web-13b-base,eightValuesPoliticalTest,6,liberty score,45.7,-0.086,-0.172,35,35,70
talkie-web-13b-base,eightValuesPoliticalTest,6,authority score,54.3,0.086,0.172,35,35,70
talkie-web-13b-base,eightValuesPoliticalTest,6,progress score,47.4,-0.052,-0.094,35,35,70
talkie-web-13b-base,eightValuesPoliticalTest,6,tradition score,52.6,0.052,0.094,35,35,70
talkie-web-13b-base,eightValuesPoliticalTest,7,equality score,42.3,-0.154,-0.26,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,7,markets score,57.7,0.154,0.26,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,7,world score,46.7,-0.066,-0.13,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,7,nation score,53.3,0.066,0.13,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,7,liberty score,51.6,0.032,0.072,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,7,authority score,48.4,-0.032,-0.072,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,7,progress score,50.4,0.008,0.02,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,7,tradition score,49.6,-0.008,-0.02,32,38,70
talkie-web-13b-base,eightValuesPoliticalTest,8,equality score,48.1,-0.038,-0.124,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,8,markets score,51.9,0.038,0.124,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,8,world score,54.4,0.088,0.236,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,8,nation score,45.6,-0.088,-0.236,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,8,liberty score,52.7,0.054,0.184,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,8,authority score,47.3,-0.054,-0.184,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,8,progress score,44.9,-0.102,-0.206,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,8,tradition score,55.1,0.102,0.206,25,45,70
talkie-web-13b-base,eightValuesPoliticalTest,9,equality score,53.2,0.064,0.208,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,9,markets score,46.8,-0.064,-0.208,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,9,world score,52.2,0.044,0.25,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,9,nation score,47.8,-0.044,-0.25,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,9,liberty score,45.7,-0.086,-0.212,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,9,authority score,54.3,0.086,0.212,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,9,progress score,47.7,-0.046,-0.098,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,9,tradition score,52.3,0.046,0.098,28,42,70
talkie-web-13b-base,eightValuesPoliticalTest,10,equality score,51.3,0.026,0.066,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,10,markets score,48.7,-0.026,-0.066,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,10,world score,48.9,-0.022,-0.066,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,10,nation score,51.1,0.022,0.066,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,10,liberty score,43.8,-0.124,-0.32,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,10,authority score,56.2,0.124,0.32,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,10,progress score,39.7,-0.206,-0.388,30,40,70
talkie-web-13b-base,eightValuesPoliticalTest,10,tradition score,60.3,0.206,0.388,30,40,70
talkie-web-13b-base,politicalCompassTest,1,economic score,-0.37,-0.037,-0.1059,22,40,62
talkie-web-13b-base,politicalCompassTest,1,social score,2.05,0.205,0.3958,22,40,62
