model name,test,score type,version,mean,variance
talkie-1930-13b-it,eightValuesPoliticalTest,liberty score,adjusted,0.194,0.0107
talkie-1930-13b-it,eightValuesPoliticalTest,markets score,native,57.94,43.8424
talkie-1930-13b-it,eightValuesPoliticalTest,markets score,normalized,0.1588,0.0175
talkie-1930-13b-it,eightValuesPoliticalTest,markets score,adjusted,0.163,0.0179
talkie-1930-13b-it,eightValuesPoliticalTest,nation score,native,40.84,23.1384
talkie-1930-13b-it,eightValuesPoliticalTest,nation score,normalized,-0.1832,0.0093
talkie-1930-13b-it,eightValuesPoliticalTest,nation score,adjusted,-0.2086,0.0125
talkie-1930-13b-it,eightValuesPoliticalTest,progress score,native,51.03,22.9621
talkie-1930-13b-it,eightValuesPoliticalTest,progress score,normalized,0.0206,0.0092
talkie-1930-13b-it,eightValuesPoliticalTest,progress score,adjusted,0.0232,0.0113
talkie-1930-13b-it,eightValuesPoliticalTest,tradition score,native,48.97,22.9621
talkie-1930-13b-it,eightValuesPoliticalTest,tradition score,normalized,-0.0206,0.0092
talkie-1930-13b-it,eightValuesPoliticalTest,tradition score,adjusted,-0.0232,0.0113
talkie-1930-13b-it,eightValuesPoliticalTest,world score,native,59.16,23.1384
talkie-1930-13b-it,eightValuesPoliticalTest,world score,normalized,0.1832,0.0093
talkie-1930-13b-it,eightValuesPoliticalTest,world score,adjusted,0.2086,0.0125
talkie-1930-13b-it,politicalCompassTest,economic score,native,0.656,1.4981
talkie-1930-13b-it,politicalCompassTest,economic score,normalized,0.0656,0.015
talkie-1930-13b-it,politicalCompassTest,economic score,adjusted,0.0774,0.0207
talkie-1930-13b-it,politicalCompassTest,social score,native,-2.574,0.4726
talkie-1930-13b-it,politicalCompassTest,social score,normalized,-0.2574,0.0047
talkie-1930-13b-it,politicalCompassTest,social score,adjusted,-0.3173,0.008
talkie-web-13b-base,eightValuesPoliticalTest,authority score,native,51.01,19.0049
talkie-web-13b-base,eightValuesPoliticalTest,authority score,normalized,0.0202,0.0076
talkie-web-13b-base,eightValuesPoliticalTest,authority score,adjusted,0.0394,0.0498
talkie-web-13b-base,eightValuesPoliticalTest,equality score,native,50.01,35.8609
talkie-web-13b-base,eightValuesPoliticalTest,equality score,normalized,0.0002,0.0143
talkie-web-13b-base,eightValuesPoliticalTest,equality score,adjusted,0.0162,0.0668
talkie-web-13b-base,eightValuesPoliticalTest,liberty score,native,48.99,19.0049
talkie-web-13b-base,eightValuesPoliticalTest,liberty score,normalized,-0.0202,0.0076
talkie-web-13b-base,eightValuesPoliticalTest,liberty score,adjusted,-0.0394,0.0498
talkie-web-13b-base,eightValuesPoliticalTest,markets score,native,49.99,35.8609
talkie-web-13b-base,eightValuesPoliticalTest,markets score,normalized,-0.0002,0.0143
talkie-web-13b-base,eightValuesPoliticalTest,markets score,adjusted,-0.0162,0.0668
talkie-web-13b-base,eightValuesPoliticalTest,nation score,native,47.35,19.6045
talkie-web-13b-base,eightValuesPoliticalTest,nation score,normalized,-0.053,0.0078
talkie-web-13b-base,eightValuesPoliticalTest,nation score,adjusted,-0.1302,0.0413
talkie-web-13b-base,eightValuesPoliticalTest,progress score,native,47.88,16.4856
talkie-web-13b-base,eightValuesPoliticalTest,progress score,normalized,-0.0424,0.0066
talkie-web-13b-base,eightValuesPoliticalTest,progress score,adjusted,-0.08,0.0276
talkie-web-13b-base,eightValuesPoliticalTest,tradition score,native,52.12,16.4856
talkie-web-13b-base,eightValuesPoliticalTest,tradition score,normalized,0.0424,0.0066
talkie-web-13b-base,eightValuesPoliticalTest,tradition score,adjusted,0.08,0.0276
talkie-web-13b-base,eightValuesPoliticalTest,world score,native,52.65,19.6045
talkie-web-13b-base,eightValuesPoliticalTest,world score,normalized,0.053,0.0078
talkie-web-13b-base,eightValuesPoliticalTest,world score,adjusted,0.1302,0.0413
talkie-web-13b-base,politicalCompassTest,economic score,native,0.232,0.7584
talkie-web-13b-base,politicalCompassTest,economic score,normalized,0.0232,0.0076
talkie-web-13b-base,politicalCompassTest,economic score,adjusted,0.0614,0.0522
talkie-web-13b-base,politicalCompassTest,social score,native,1.045,0.7834
talkie-web-13b-base,politicalCompassTest,social score,normalized,0.1045,0.0078
talkie-web-13b-base,politicalCompassTest,social score,adjusted,0.1804,0.0277
