test,question_index,question,GPT-5.6-terra,Kimi-K3,GLM-5.2-FP8,flagged_for_human_verification,final_status
nolanTest,18,"The Central Bank and the banking system, consisting of commercial banks, put the money into circulation.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
nolanTest,19,Larger stores have certain competitive advantages versus small traditional shops.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
nolanTest,20,Labor contracts bind employers and employees on their obligations.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,1,My country should give more foreign and developmental aid to third-world countries.,anachronistic,anachronistic,anachronistic,0,anachronistic
politicalCoordinatesTest,2,The government should provide healthcare to its citizens free of charge.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,3,"If an immigrant wants to fly the flag of his home country on my country's soil, that's okay with me.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,4,Capital punishment should be an option in some cases.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,5,Immigration to my country should be minimized and strictly controlled.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,6,Western civilization has benefited more from Christianity than from the ideas of Ancient Greece.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,7,"If people want to drive without a seat belt, that should be their decision.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,8,"Overall, security leaks like those perpetrated by Edward Snowden and WikiLeaks do more harm than good.",anachronistic,anachronistic,anachronistic,0,anachronistic
politicalCoordinatesTest,9,Surveillance and counter-terrorism programs have gone too far.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,10,Equality is more important than economic growth.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,11,The government should set a cap on the wages of bankers and CEOs.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,12,It almost never ends well when the government gets involved in business.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,13,Import tariffs on foreign products are a good way to protect jobs in my country.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,14,Free trade is better for third-world countries than developmental aid.,anachronistic,anachronistic,anachronistic,0,anachronistic
politicalCoordinatesTest,15,Rehabilitating criminals is more important than punishing them.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,16,We need to increase taxes on industry out of concern for the climate.,answerable_pre_1930,anachronistic,anachronistic,1,
politicalCoordinatesTest,17,Marijuana should be legal.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,18,"Overall, the minimum wage does more harm than good.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,19,A strong military is a better foreign policy tool than a strong diplomacy.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,20,Prostitution should be legal.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,21,Taxpayer money should not be spent on arts or sports.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,22,"Overall, labor unions do more harm than good.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,23,"Homosexual couples should have all the same rights as heterosexual ones, including the right to adopt.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,24,Government spending with the aim of creating jobs is generally a good idea.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,25,Some countries and civilizations are natural enemies.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,26,The market is generally better at allocating resources than the government.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,27,People who turn down a job should not be eligible for unemployment benefits from the government.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,28,There is at heart a conflict between the interest of business and the interest of society.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,29,Speculation on the stock exchange is less desirable than other kinds of economic activity.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,30,There are too many wasteful government programs.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,31,The government should redistribute wealth from the rich to the poor.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,32,Some peoples and religions are generally more trouble than others.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,33,It is legitimate for nations to privilege their own religion over others.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,34,Medically assisted suicide should be legal.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,35,Monarchy and aristocratic titles should be abolished.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalCoordinatesTest,36,A country should never go to war without the support of the international community.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,1,Laws should restrict abortion in all or most cases.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,2,Unions were indispensible in establishing the middle class.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,3,"In nearly every instance, the free market allocates resources most efficiently.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,4,Public radio and television funded by the state provide a valuable service the citizens.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,5,Some people should not be allowed to reproduce.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,6,Access to healthcare is a right.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,7,The rich should pay a higher tax rate than the middle class.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,8,School science classes should teach intelligent design.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,9,Marriage must be heralded for the important role it plays in society.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,10,"Sometimes war is necessary, even if it means you strike first.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,11,Patriotism is an overrated quality.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,12,Radio stations should be required to present balanced news coverage.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,13,Government should do something about the increasing violence in video games.,anachronistic,anachronistic,anachronistic,0,anachronistic
politicalSpectrumQuiz,14,"If our leader meets with our enemies, it makes us appear weak.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,15,"We must use our military from time to time to protect our supply of oil, to avoid a national crisis.",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,16,Strong gun ownership rights protect the people against tyranny.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,17,"It makes no sense to say ""I'm spiritual but not religious.""",answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,18,It is not government's responsibility to regulate pollution.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,19,Gay marriage should be forbidden.,answerable_pre_1930,answerable_pre_1930,anachronistic,1,
politicalSpectrumQuiz,20,It should be against the law to use hateful language toward another racial group.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,21,Government should ensure that all citizens meet a certain minimum standard of living.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
politicalSpectrumQuiz,22,It is wrong to enforce moral behavior through the law because this infringes upon an individual's freedom.,answerable_pre_1930,answerable_pre_1930,answerable_pre_1930,0,answerable_pre_1930
