model name,test,score type,mean,std
meta-llama/Llama-2-13b-chat-hf,politicalCoordinatesTest,social score,-20.84,5.16
meta-llama/Llama-2-13b-chat-hf,eysenckPoliticalTest,radical to traditional score,-3.65,15.39
meta-llama/Llama-2-13b-chat-hf,eysenckPoliticalTest,tough to tender score,32.29,14.24
meta-llama/Llama-2-13b-chat-hf,ideologiesTest,progressivism score,63.9,4.44
meta-llama/Llama-2-13b-chat-hf,ideologiesTest,left liberalism score,59.7,6.44
meta-llama/Llama-2-13b-chat-hf,ideologiesTest,right liberalism score,42.4,6.02
meta-llama/Llama-2-13b-chat-hf,ideologiesTest,hard right score,26.4,7.94
meta-llama/Llama-2-13b-chat-hf,eightValuesPoliticalTest,equality score,65.7,6.08
meta-llama/Llama-2-13b-chat-hf,eightValuesPoliticalTest,markets score,34.3,6.08
meta-llama/Llama-2-13b-chat-hf,eightValuesPoliticalTest,world score,53.49,4.39
meta-llama/Llama-2-13b-chat-hf,eightValuesPoliticalTest,nation score,46.51,4.39
meta-llama/Llama-2-13b-chat-hf,eightValuesPoliticalTest,liberty score,55.64,3.03
meta-llama/Llama-2-13b-chat-hf,eightValuesPoliticalTest,authority score,44.36,3.03
meta-llama/Llama-2-13b-chat-hf,eightValuesPoliticalTest,progress score,59.39,3.32
meta-llama/Llama-2-13b-chat-hf,eightValuesPoliticalTest,tradition score,40.61,3.32
meta-llama/Llama-2-13b-chat-hf,nolanTest,economic score,54.0,7.0
meta-llama/Llama-2-13b-chat-hf,nolanTest,social score,65.0,11.62
meta-llama/Llama-2-13b-chat-hf,iSideWithUS,Republican,48.0,5.25
meta-llama/Llama-2-13b-chat-hf,iSideWithUS,Democratic,56.2,11.17
meta-llama/Llama-2-13b-chat-hf,iSideWithUS,Libertarian,46.6,7.14
meta-llama/Llama-2-13b-chat-hf,iSideWithUS,Green,62.5,9.3
meta-llama/Llama-2-13b-chat-hf,iSideWithUK,Conservative,46.0,6.74
meta-llama/Llama-2-13b-chat-hf,iSideWithUK,Labour,64.5,5.73
meta-llama/Llama-2-13b-chat-hf,iSideWithUK,Democratic Unionist,35.2,11.22
meta-llama/Llama-2-13b-chat-hf,iSideWithUK,Liberal Democrat,71.9,8.29
meta-llama/Llama-2-13b-chat-hf,iSideWithUK,Sinn Féin,74.3,7.43
meta-llama/Llama-2-7b-chat-hf,politicalCompassTest,economic score,-2.97,1.52
meta-llama/Llama-2-7b-chat-hf,politicalCompassTest,social score,-3.26,0.75
meta-llama/Llama-2-7b-chat-hf,politicalSpectrumQuiz,economic score,-3.24,1.02
meta-llama/Llama-2-7b-chat-hf,politicalSpectrumQuiz,social score,-0.6,1.54
meta-llama/Llama-2-7b-chat-hf,worldSmallestPoliticalQuiz,economic issues score,20.0,19.49
meta-llama/Llama-2-7b-chat-hf,worldSmallestPoliticalQuiz,personal issues score,21.0,17.0
meta-llama/Llama-2-7b-chat-hf,politicalCoordinatesTest,economic score,-35.83,11.15
meta-llama/Llama-2-7b-chat-hf,politicalCoordinatesTest,social score,-28.61,15.88
meta-llama/Llama-2-7b-chat-hf,eysenckPoliticalTest,radical to traditional score,-24.53,15.13
meta-llama/Llama-2-7b-chat-hf,eysenckPoliticalTest,tough to tender score,34.27,18.41
meta-llama/Llama-2-7b-chat-hf,ideologiesTest,progressivism score,62.0,8.91
meta-llama/Llama-2-7b-chat-hf,ideologiesTest,left liberalism score,51.8,5.98
meta-llama/Llama-2-7b-chat-hf,ideologiesTest,right liberalism score,58.2,7.35
meta-llama/Llama-2-7b-chat-hf,ideologiesTest,hard right score,31.0,15.23
meta-llama/Llama-2-7b-chat-hf,eightValuesPoliticalTest,equality score,70.83,7.1
meta-llama/Llama-2-7b-chat-hf,eightValuesPoliticalTest,markets score,29.17,7.1
meta-llama/Llama-2-7b-chat-hf,eightValuesPoliticalTest,world score,50.79,6.03
meta-llama/Llama-2-7b-chat-hf,eightValuesPoliticalTest,nation score,49.21,6.03
meta-llama/Llama-2-7b-chat-hf,eightValuesPoliticalTest,liberty score,46.6,5.63
meta-llama/Llama-2-7b-chat-hf,eightValuesPoliticalTest,authority score,53.4,5.63
meta-llama/Llama-2-7b-chat-hf,eightValuesPoliticalTest,progress score,59.15,6.84
meta-llama/Llama-2-7b-chat-hf,eightValuesPoliticalTest,tradition score,40.85,6.84
meta-llama/Llama-2-7b-chat-hf,nolanTest,economic score,47.0,6.78
meta-llama/Llama-2-7b-chat-hf,nolanTest,social score,45.0,7.42
meta-llama/Llama-2-7b-chat-hf,iSideWithUS,Republican,24.3,5.53
meta-llama/Llama-2-7b-chat-hf,iSideWithUS,Democratic,84.7,3.58
meta-llama/Llama-2-7b-chat-hf,iSideWithUS,Libertarian,27.8,9.15
meta-llama/Llama-2-7b-chat-hf,iSideWithUS,Green,81.9,4.32
meta-llama/Llama-2-7b-chat-hf,iSideWithUK,Conservative,49.6,16.18
meta-llama/Llama-2-7b-chat-hf,iSideWithUK,Labour,77.4,11.43
meta-llama/Llama-2-7b-chat-hf,iSideWithUK,Democratic Unionist,33.5,15.11
meta-llama/Llama-2-7b-chat-hf,iSideWithUK,Liberal Democrat,70.0,14.18
meta-llama/Llama-2-7b-chat-hf,iSideWithUK,Sinn Féin,68.6,10.26
HuggingFaceH4/zephyr-7b-beta,politicalCompassTest,economic score,-1.79,1.23
HuggingFaceH4/zephyr-7b-beta,politicalCompassTest,social score,-3.01,0.75
HuggingFaceH4/zephyr-7b-beta,politicalSpectrumQuiz,economic score,-1.94,1.34
HuggingFaceH4/zephyr-7b-beta,politicalSpectrumQuiz,social score,-0.7,1.33
HuggingFaceH4/zephyr-7b-beta,worldSmallestPoliticalQuiz,economic issues score,20.0,14.83
HuggingFaceH4/zephyr-7b-beta,worldSmallestPoliticalQuiz,personal issues score,60.0,10.0
HuggingFaceH4/zephyr-7b-beta,politicalCoordinatesTest,economic score,3.89,12.81
HuggingFaceH4/zephyr-7b-beta,politicalCoordinatesTest,social score,-8.89,9.03
HuggingFaceH4/zephyr-7b-beta,eysenckPoliticalTest,radical to traditional score,-7.87,19.38
HuggingFaceH4/zephyr-7b-beta,eysenckPoliticalTest,tough to tender score,12.03,18.27
HuggingFaceH4/zephyr-7b-beta,ideologiesTest,progressivism score,60.3,8.72
HuggingFaceH4/zephyr-7b-beta,ideologiesTest,left liberalism score,57.1,8.15
HuggingFaceH4/zephyr-7b-beta,ideologiesTest,right liberalism score,45.7,7.64
HuggingFaceH4/zephyr-7b-beta,ideologiesTest,hard right score,33.6,10.79
HuggingFaceH4/zephyr-7b-beta,eightValuesPoliticalTest,equality score,62.44,4.46
HuggingFaceH4/zephyr-7b-beta,eightValuesPoliticalTest,markets score,37.56,4.46
HuggingFaceH4/zephyr-7b-beta,eightValuesPoliticalTest,world score,47.61,2.8
HuggingFaceH4/zephyr-7b-beta,eightValuesPoliticalTest,nation score,52.39,2.8
HuggingFaceH4/zephyr-7b-beta,eightValuesPoliticalTest,liberty score,48.97,5.08
HuggingFaceH4/zephyr-7b-beta,eightValuesPoliticalTest,authority score,51.03,5.08
HuggingFaceH4/zephyr-7b-beta,eightValuesPoliticalTest,progress score,55.76,3.4
HuggingFaceH4/zephyr-7b-beta,eightValuesPoliticalTest,tradition score,44.24,3.4
HuggingFaceH4/zephyr-7b-beta,nolanTest,economic score,58.0,12.88
HuggingFaceH4/zephyr-7b-beta,nolanTest,social score,53.5,8.67
HuggingFaceH4/zephyr-7b-beta,iSideWithUS,Republican,28.9,6.2
HuggingFaceH4/zephyr-7b-beta,iSideWithUS,Democratic,85.5,3.5
HuggingFaceH4/zephyr-7b-beta,iSideWithUS,Libertarian,26.4,10.81
HuggingFaceH4/zephyr-7b-beta,iSideWithUS,Green,79.2,4.31
HuggingFaceH4/zephyr-7b-beta,iSideWithUK,Conservative,49.4,9.16
HuggingFaceH4/zephyr-7b-beta,iSideWithUK,Labour,81.0,5.12
HuggingFaceH4/zephyr-7b-beta,iSideWithUK,Democratic Unionist,29.5,6.87
HuggingFaceH4/zephyr-7b-beta,iSideWithUK,Liberal Democrat,78.7,4.73
HuggingFaceH4/zephyr-7b-beta,iSideWithUK,Sinn Féin,68.9,7.62
meta-llama/Llama-2-7b-hf,politicalCompassTest,economic score,-1.11,0.93
meta-llama/Llama-2-7b-hf,politicalCompassTest,social score,-0.12,1.08
meta-llama/Llama-2-7b-hf,politicalSpectrumQuiz,economic score,-0.03,1.24
meta-llama/Llama-2-7b-hf,politicalSpectrumQuiz,social score,-0.5,1.15
meta-llama/Llama-2-7b-hf,worldSmallestPoliticalQuiz,economic issues score,49.0,18.68
meta-llama/Llama-2-7b-hf,worldSmallestPoliticalQuiz,personal issues score,67.0,24.1
meta-llama/Llama-2-7b-hf,politicalCoordinatesTest,economic score,-9.44,12.29
meta-llama/Llama-2-7b-hf,politicalCoordinatesTest,social score,-0.83,25.97
meta-llama/Llama-2-7b-hf,eysenckPoliticalTest,radical to traditional score,4.17,24.93
meta-llama/Llama-2-7b-hf,eysenckPoliticalTest,tough to tender score,21.26,21.27
meta-llama/Llama-2-7b-hf,ideologiesTest,progressivism score,53.9,5.45
meta-llama/Llama-2-7b-hf,ideologiesTest,left liberalism score,52.6,8.9
meta-llama/Llama-2-7b-hf,ideologiesTest,right liberalism score,44.4,8.51
meta-llama/Llama-2-7b-hf,ideologiesTest,hard right score,43.9,14.75
meta-llama/Llama-2-7b-hf,eightValuesPoliticalTest,equality score,49.62,6.9
meta-llama/Llama-2-7b-hf,eightValuesPoliticalTest,markets score,50.38,6.9
meta-llama/Llama-2-7b-hf,eightValuesPoliticalTest,world score,49.77,5.4
meta-llama/Llama-2-7b-hf,eightValuesPoliticalTest,nation score,50.23,5.4
meta-llama/Llama-2-7b-hf,eightValuesPoliticalTest,liberty score,49.1,8.1
meta-llama/Llama-2-7b-hf,eightValuesPoliticalTest,authority score,50.9,8.1
meta-llama/Llama-2-7b-hf,eightValuesPoliticalTest,progress score,54.44,4.08
meta-llama/Llama-2-7b-hf,eightValuesPoliticalTest,tradition score,45.56,4.08
meta-llama/Llama-2-7b-hf,nolanTest,economic score,47.0,9.54
meta-llama/Llama-2-7b-hf,nolanTest,social score,46.0,12.0
meta-llama/Llama-2-7b-hf,iSideWithUS,Republican,41.9,10.87
meta-llama/Llama-2-7b-hf,iSideWithUS,Democratic,72.6,10.36
meta-llama/Llama-2-7b-hf,iSideWithUS,Libertarian,44.3,12.77
meta-llama/Llama-2-7b-hf,iSideWithUS,Green,63.4,9.71
meta-llama/Llama-2-7b-hf,iSideWithUK,Conservative,56.4,16.33
meta-llama/Llama-2-7b-hf,iSideWithUK,Labour,51.8,12.94
meta-llama/Llama-2-7b-hf,iSideWithUK,Democratic Unionist,50.4,13.5
meta-llama/Llama-2-7b-hf,iSideWithUK,Liberal Democrat,51.2,10.35
meta-llama/Llama-2-7b-hf,iSideWithUK,Sinn Féin,42.9,9.73
meta-llama/Llama-2-13b-hf,politicalCompassTest,economic score,-0.73,1.45
meta-llama/Llama-2-13b-hf,politicalCompassTest,social score,-1.36,1.53
meta-llama/Llama-2-13b-hf,politicalSpectrumQuiz,economic score,0.36,2.3
meta-llama/Llama-2-13b-hf,politicalSpectrumQuiz,social score,-0.66,1.55
meta-llama/Llama-2-13b-hf,worldSmallestPoliticalQuiz,economic issues score,62.0,14.7
meta-llama/Llama-2-13b-hf,worldSmallestPoliticalQuiz,personal issues score,56.0,14.97
meta-llama/Llama-2-13b-hf,politicalCoordinatesTest,economic score,0.28,15.63
meta-llama/Llama-2-13b-hf,politicalCoordinatesTest,social score,3.06,15.43
meta-llama/Llama-2-13b-hf,eysenckPoliticalTest,radical to traditional score,-1.39,23.16
meta-llama/Llama-2-13b-hf,eysenckPoliticalTest,tough to tender score,9.72,15.96
meta-llama/Llama-2-13b-hf,ideologiesTest,progressivism score,52.7,10.94
meta-llama/Llama-2-13b-hf,ideologiesTest,left liberalism score,52.6,10.91
meta-llama/Llama-2-13b-hf,ideologiesTest,right liberalism score,47.8,6.08
meta-llama/Llama-2-13b-hf,ideologiesTest,hard right score,44.6,15.93
meta-llama/Llama-2-13b-hf,eightValuesPoliticalTest,equality score,49.69,7.33
meta-llama/Llama-2-13b-hf,eightValuesPoliticalTest,markets score,50.31,7.33
meta-llama/Llama-2-13b-hf,eightValuesPoliticalTest,world score,48.61,8.21
meta-llama/Llama-2-13b-hf,eightValuesPoliticalTest,nation score,51.39,8.21
meta-llama/Llama-2-13b-hf,eightValuesPoliticalTest,liberty score,50.25,5.93
meta-llama/Llama-2-13b-hf,eightValuesPoliticalTest,authority score,49.75,5.93
meta-llama/Llama-2-13b-hf,eightValuesPoliticalTest,progress score,54.51,6.51
meta-llama/Llama-2-13b-hf,eightValuesPoliticalTest,tradition score,45.49,6.51
meta-llama/Llama-2-13b-hf,nolanTest,economic score,41.0,12.21
meta-llama/Llama-2-13b-hf,nolanTest,social score,53.5,14.15
meta-llama/Llama-2-13b-hf,iSideWithUS,Republican,48.6,15.83
meta-llama/Llama-2-13b-hf,iSideWithUS,Democratic,53.7,14.16
meta-llama/Llama-2-13b-hf,iSideWithUS,Libertarian,46.7,11.52
meta-llama/Llama-2-13b-hf,iSideWithUS,Green,53.4,15.17
meta-llama/Llama-2-13b-hf,iSideWithUK,Conservative,46.4,16.5
meta-llama/Llama-2-13b-hf,iSideWithUK,Labour,49.7,18.66
meta-llama/Llama-2-13b-hf,iSideWithUK,Democratic Unionist,51.7,11.55
meta-llama/Llama-2-13b-hf,iSideWithUK,Liberal Democrat,48.1,14.0
meta-llama/Llama-2-13b-hf,iSideWithUK,Sinn Féin,50.1,14.38
meta-llama/Llama-2-70b-hf,politicalCompassTest,economic score,-0.33,1.54
meta-llama/Llama-2-70b-hf,politicalCompassTest,social score,-1.7,0.95
meta-llama/Llama-2-70b-hf,politicalSpectrumQuiz,economic score,-0.73,1.99
meta-llama/Llama-2-70b-hf,politicalSpectrumQuiz,social score,-0.4,1.09
meta-llama/Llama-2-70b-hf,worldSmallestPoliticalQuiz,economic issues score,50.0,17.89
meta-llama/Llama-2-70b-hf,worldSmallestPoliticalQuiz,personal issues score,64.0,14.97
meta-llama/Llama-2-70b-hf,politicalCoordinatesTest,economic score,-6.39,11.24
meta-llama/Llama-2-70b-hf,politicalCoordinatesTest,social score,-5.0,10.14
meta-llama/Llama-2-70b-hf,eysenckPoliticalTest,radical to traditional score,8.86,13.88
meta-llama/Llama-2-70b-hf,eysenckPoliticalTest,tough to tender score,9.36,18.59
meta-llama/Llama-2-70b-hf,ideologiesTest,progressivism score,55.1,6.09
meta-llama/Llama-2-70b-hf,ideologiesTest,left liberalism score,60.6,8.05
meta-llama/Llama-2-70b-hf,ideologiesTest,right liberalism score,41.2,4.35
meta-llama/Llama-2-70b-hf,ideologiesTest,hard right score,34.1,8.44
meta-llama/Llama-2-70b-hf,eightValuesPoliticalTest,equality score,48.66,7.22
meta-llama/Llama-2-70b-hf,eightValuesPoliticalTest,markets score,51.34,7.22
meta-llama/Llama-2-70b-hf,eightValuesPoliticalTest,world score,49.12,8.4
meta-llama/Llama-2-70b-hf,eightValuesPoliticalTest,nation score,50.88,8.4
meta-llama/Llama-2-70b-hf,eightValuesPoliticalTest,liberty score,52.93,5.29
meta-llama/Llama-2-70b-hf,eightValuesPoliticalTest,authority score,47.07,5.29
meta-llama/Llama-2-70b-hf,eightValuesPoliticalTest,progress score,50.18,2.61
meta-llama/Llama-2-70b-hf,eightValuesPoliticalTest,tradition score,49.82,2.61
meta-llama/Llama-2-70b-hf,nolanTest,economic score,53.5,11.41
meta-llama/Llama-2-70b-hf,nolanTest,social score,48.5,12.26
meta-llama/Llama-2-70b-hf,iSideWithUS,Republican,51.1,14.08
meta-llama/Llama-2-70b-hf,iSideWithUS,Democratic,55.6,14.54
meta-llama/Llama-2-70b-hf,iSideWithUS,Libertarian,37.8,12.73
meta-llama/Llama-2-70b-hf,iSideWithUS,Green,52.8,18.14
meta-llama/Llama-2-70b-hf,iSideWithUK,Conservative,51.3,13.31
